iter	Logloss
0	0.6298566505
1	0.5806975351
2	0.5463946306
3	0.5184590535
4	0.4965913322
5	0.4820297855
6	0.470662014
7	0.4609940903
8	0.4510940467
9	0.4426201302
10	0.4367083944
11	0.4308688243
12	0.4265855838
13	0.4225717712
14	0.4189660349
15	0.4163346487
16	0.4136372359
17	0.4110714632
18	0.4090700068
19	0.4072142611
20	0.4057043872
21	0.4036601756
22	0.4019693748
23	0.4002134926
24	0.3988264061
25	0.3978962848
26	0.3967501693
27	0.3956859145
28	0.3946184642
29	0.3934507533
30	0.3927941183
31	0.3914933866
32	0.3910035466
33	0.3903069372
34	0.3886952938
35	0.3876350728
36	0.3868861348
37	0.3861098501
38	0.3853639914
39	0.3845033794
40	0.3836503703
41	0.3829572051
42	0.3822269861
43	0.381792791
44	0.3811012046
45	0.3805504894
46	0.3800104471
47	0.3796459078
48	0.3787937399
49	0.3780147036
