iter	Passed	Remaining
0	6	331
1	14	342
2	21	332
3	28	330
4	35	318
5	42	311
6	47	294
7	54	287
8	62	283
9	68	275
10	77	274
11	83	265
12	90	258
13	97	249
14	103	242
15	111	236
16	117	228
17	125	222
18	132	215
19	140	210
20	147	203
21	155	197
22	163	192
23	171	185
24	178	178
25	185	170
26	193	164
27	200	157
28	208	151
29	217	144
30	225	138
31	233	131
32	240	124
33	249	117
34	256	109
35	263	102
36	270	95
37	278	87
38	285	80
39	293	73
40	300	65
41	307	58
42	314	51
43	320	43
44	328	36
45	336	29
46	343	21
47	350	14
48	357	7
49	364	0
