iter	Passed	Remaining
0	7	2119
1	11	1733
2	17	1769
3	22	1688
4	29	1766
5	34	1701
6	39	1633
7	43	1587
8	48	1574
9	53	1543
10	57	1514
11	62	1490
12	67	1490
13	72	1474
14	76	1454
15	81	1444
16	85	1430
17	90	1418
18	94	1404
19	99	1398
20	104	1386
21	108	1375
22	114	1373
23	118	1365
24	123	1355
25	127	1345
26	132	1338
27	136	1327
28	140	1317
29	145	1313
30	150	1307
31	155	1298
32	159	1290
33	164	1285
34	168	1276
35	172	1267
36	177	1258
37	182	1256
38	186	1249
39	191	1242
40	196	1239
41	200	1232
42	205	1226
43	210	1223
44	214	1216
45	219	1210
46	223	1203
47	228	1200
48	233	1193
49	237	1187
50	242	1183
51	247	1178
52	251	1171
53	255	1164
54	260	1160
55	264	1153
56	269	1147
57	273	1142
58	278	1137
59	282	1130
60	286	1124
61	291	1118
62	295	1111
63	299	1105
64	304	1099
65	308	1094
66	312	1088
67	317	1081
68	321	1076
69	326	1072
70	330	1067
71	335	1062
72	340	1059
73	345	1054
74	350	1050
75	354	1045
76	358	1037
77	362	1032
78	367	1027
79	372	1024
80	376	1018
81	381	1013
82	386	1009
83	390	1004
84	395	999
85	399	994
86	404	990
87	409	985
88	413	980
89	417	975
90	422	970
91	427	966
92	431	961
93	436	956
94	441	951
95	445	947
96	450	942
97	454	937
98	459	932
99	463	926
100	467	921
101	472	916
102	476	911
103	480	905
104	485	900
105	489	895
106	493	890
107	498	886
108	503	882
109	507	876
110	511	871
111	516	867
112	520	862
113	525	857
114	529	852
115	534	847
116	538	842
117	542	837
118	548	834
119	552	828
120	557	824
121	561	819
122	566	815
123	570	810
124	575	805
125	580	801
126	584	796
127	589	791
128	593	786
129	598	783
130	603	778
131	607	773
132	612	769
133	617	764
134	621	760
135	626	755
136	630	750
137	635	745
138	639	740
139	644	736
140	648	731
141	652	726
142	657	721
143	661	717
144	666	712
145	671	708
146	675	703
147	680	698
148	684	694
149	689	689
150	694	685
151	698	680
152	703	675
153	707	671
154	712	666
155	716	661
156	721	656
157	726	652
158	730	648
159	735	643
160	740	639
161	744	634
162	748	629
163	753	624
164	758	620
165	761	614
166	766	610
167	770	605
168	775	600
169	779	596
170	784	591
171	789	587
172	793	582
173	798	577
174	802	573
175	807	568
176	811	564
177	815	559
178	820	554
179	825	550
180	829	545
181	834	540
182	838	536
183	842	531
184	847	526
185	852	522
186	856	517
187	861	513
188	865	508
189	870	504
190	875	499
191	879	494
192	884	490
193	888	485
194	893	480
195	897	476
196	902	471
197	906	467
198	911	462
199	915	457
200	920	453
201	925	448
202	929	444
203	934	439
204	938	434
205	943	430
206	947	425
207	952	421
208	956	416
209	961	411
210	965	407
211	970	402
212	974	398
213	979	393
214	983	388
215	988	384
216	992	379
217	997	375
218	1001	370
219	1006	365
220	1010	361
221	1015	356
222	1020	352
223	1024	347
224	1029	343
225	1034	338
226	1038	334
227	1043	329
228	1048	324
229	1052	320
230	1057	315
231	1062	311
232	1066	306
233	1070	302
234	1075	297
235	1080	293
236	1085	288
237	1089	283
238	1094	279
239	1098	274
240	1103	270
241	1107	265
242	1112	260
243	1117	256
244	1121	251
245	1126	247
246	1131	242
247	1135	238
248	1139	233
249	1144	228
250	1148	224
251	1153	219
252	1157	215
253	1162	210
254	1166	205
255	1170	201
256	1175	196
257	1179	192
258	1184	187
259	1189	182
260	1193	178
261	1198	173
262	1202	169
263	1207	164
264	1212	160
265	1216	155
266	1222	151
267	1226	146
268	1231	141
269	1236	137
270	1241	132
271	1246	128
272	1250	123
273	1255	119
274	1260	114
275	1265	110
276	1270	105
277	1275	100
278	1280	96
279	1284	91
280	1289	87
281	1293	82
282	1330	79
283	1337	75
284	1344	70
285	1368	66
286	1374	62
287	1378	57
288	1383	52
289	1388	47
290	1395	43
291	1405	38
292	1409	33
293	1414	28
294	1419	24
295	1423	19
296	1427	14
297	1432	9
298	1436	4
299	1441	0
